Kode Kecamatan,Nama Kecamatan,UPT Puskesmas,Jumlah Lahir Hidup Laki - laki,Jumlah Lahir Hidup Perempuan,Polio Laki - laki,Polio Perempuan
33.03.01,Kemangkon,Kemangkon,409,424,339,287
33.03.02,Bukateja,Bukateja,306,269,223,222
33.03.02,Bukateja,Kutawis,297,241,229,206
33.03.03,Kejobong,Kejobong,357,336,289,320
33.03.16,Pengadegan,Pengadegan,299,255,283,257
33.03.04,Kaligondang,Kaligondang,309,311,207,235
33.03.04,Kaligondang,Kalikajar,160,145,154,134
33.03.05,Purbalingga,Purbalingga,189,142,211,185
33.03.05,Purbalingga,Bojong,141,121,149,127
33.03.06,Kalimanah,Kalimanah,337,328,289,276
33.03.15,Padamara,Padamara,301,313,265,267
33.03.07,Kutasari,Kutasari,534,514,452,435
33.03.14,Bojongsari,Bojongsari,468,458,354,333
33.03.08,Mrebet,Mrebet,326,268,292,232
33.03.08,Mrebet,Serayu Larangan,283,237,238,259
33.03.09,Bobotsari,Bobotsari,344,351,311,279
33.03.10,Karangreja,Karangreja,404,398,314,257
33.03.17,Karangjambu,Karangjambu,217,209,125,100
33.03.11,Karanganyar,Karanganyar,336,312,284,254
33.03.18,Kertanegara,Karangtengah,249,273,168,192
33.03.12,Karangmoncol,Karangmoncol,458,446,422,406
33.03.13,Rembang,Rembang,531,486,345,347